# instead of space use tab
# name tab value

Mario	0000
Luigi	0001
Peach	0002
Yoshi	0003
Rosalina	0004
Bowser	0005
Bowser Jr.	0006
Wario	0007
Donkey Kong	0008
Diddy Kong	0009
Daisy	0013
Waluigi	0014
Boo	0017
Poochy	0080
Toad	000a
Link	0100
Zelda	0101
Ganon	0102
Midna	0103
Guardian	0140
Bokoblin	0141
Villager	0180
Isabelle	0181
K.K. Slider	0182
Tom Nook	0183
Timmy & Tommy	0184
Timmy	0185
Tommy	0186
Sable	0187
Mabel	0188
Labelle	0189
Reese	018A
Cyrus	018B
Digby	018C
Rover	018D
Mr. Resetti	018E
Don Resetti	018F
Brewster	0190
Harriet	0191
Blathers	0192
Celeste	0193
Kicks	0194
Porter	0195
Kapp'n	0196
Leilani	0197
Lelia	0198
Grams	0199
Chip	019A
Nat	019B
Phineas	019C
Copper	019D
Booker	019E
Pete	019F
Pelly	01A0
Phyllis	01A1
Gulliver	01A2
Joan	01A3
Pascal	01A4
Katarina	01A5
Sahara	01A6
Wendell	01A7
Redd	01A8
Gracie	01A9
Lyle	01AA
Pave	01AB
Zipper	01AC
Jack	01AD
Franklin	01AE
Jingle	01AF
Tortimer	01B0
Dr. Shrunk	01B1
Blanca	01B3
Leif	01B4
Luna	01B5
Katie	01B6
Lottie	01C1
Cyrano	0200
Antonio	0201
Pango	0202
Anabelle	0203
Snooty	0206
Annalisa	0208
Olaf	0209
Puala	021E
Teddy	0214
Pinky	0215
Curt	0216
Chow	0217
Nate	0219
Groucho	021A
Tutu	021B
Ursala	021C
Grizzly	021D
Ike	021F
Charlise	0220
Beardo	0221
Klaus	0222
Jay	022D
Robin	022E
Anchovy	022F
Twiggy	0230
Jitters	0231
Piper	0232
Admiral	0233
Midge	0235
Jacob	0238
Lucha	023C
Jacques	023D
Peck	023E
Sparro	023F
Angus	024A
Rodeo	024B
Stu	024D
T-Bone	024F
Coach	0251
Vic	0252
Bob	025D
Mitzi	025E
Rosie	025F
Olivia	0260
Kiki	0261
Tangy	0262
Punchy	0263
Purrl	0264
Moe	0265
Kabuki	0266
Kid Cat	0267
Monique	0268
Tabby	0269
Stinky	026A
Kitty	026B
Tom	026C
Merry	026D
Felicity	026E
Lolly	026F
Ankha	0270
Rudy	0271
Katt	0272
Bluebear	027D
Maple	027E
Poncho	027F
Pudge	0280
Kody	0281
Stitches	0282
Vladimir	0283
Murphy	0284
Olive	0286
Cheri	0287
June	028A
Pekoe	028B
Chester	028C
Barold	028D
Tammy	028E
Marty	028F
Goose	0299
Benedict	029A
Egbert	029B
Ava	029E
Becky	02A2
Plucky	02A3
Knox	02A4
Broffina	02A5
Ken	02A6
Patty	02B1
Tipper	02B2
Norma	02B7
Naomi	02B8
Alfonso	02C3
Alli	02C4
Boots	02C5
Del	02C7
Sly	02C9
Gayle	02CA
Drago	02CB
Fauna	02D6
Bam	02D7
Zell	02D8
Bruce	02D9
Deidre	02DA
Lopez	02DB
Fuchsia	02DC
Beau	02DD
Diana	02DE
Erik	02DF
Chelsea	02E0
Goldie	02EA
Butch	02EB
Lucky	02EC
Biskit	02ED
Bones	02EE
Portia	02EF
Walker	02F0
Daisy	02F1
Cookie	02F2
Maddie	02F3
Bea	02F4
Mac	02F8
Marcel	02F9
Benjamin	02FA
Cherry	02FB
Shep	02FC
Bill	0307
Joey	0308
Pate	0309
Maelle	030A
Deena	030B
Pompom	030C
Mallary	030D
Freckles	030E
Derwin	030F
Drake	0310
Scoot	0311
Weber	0312
Miranda	0313
Ketchup	0314
Gloria	0316
Molly	0317
Quillson	0318
Opal	0323
Dizzy	0324
Big Top	0325
Eloise	0326
Margie	0327
Paolo	0328
Axel	0329
Ellie	032A
Tucker	032C
Tia	032D
Chai	032E
Lily	0338
Ribbot	0339
Frobert	033A
Camofrog	033B
Drift	033C
Wart Jr.	033D
Puddies	033E
Jeremiah	033F
Tad	0341
Cousteau	0342
Huck	0343
Prince	0344
Jambette	0345
Raddle	0347
Gigi	0348
Croque	0349
Diva	034A
Henry	034B
Chevre	0356
Nan	0357
Billy	0358
Gruff	035A
Velma	035C
Kidd	035D
Pashmina	035E
Cesar	0369
Peewee	036A
Boone	036B
Louie	036D
Maddie	036E
Violet	0370
Al	0371
Rocket	0372
Hans	0373
Rilla	0374
Hamlet	037E
Apple	037F
Graham	0380
Rodney	0381
Soleil	0382
Clay	0383
Flurry	0384
Hamphrey	0385
Rocco	0390
Bubbles	0392
Bertha	0393
Biff	0394
Bitty	0395
Harry	0398
Hippeux	0399
Buck	03A4
Victoria	03A5
Savannah	03A6
Elmer	03A7
Rosco	03A8
Winnie	03A9
Ed	03AA
Cleo	03AB
Peaches	03AC
Annalise	03AD
Clyde	03AE
Colton	03AF
Papi	03B0
Julian	03B1
Yuka	03BC
Alice	03BD
Melba	03BE
Sydney	03BF
Gonzo	03C0
Ozzie	03C1
Canberra	03C4
Lyman	03C5
Eugene	03C6
Carrie	03D3
Kitt	03D1
Mathilda	03D2
Astrid	03D6
Sylvia	03D7
Walt	03D9
Rodney	03DA
Marcie	03DB
Bud	03E6
Elvis	03E7
Rex	03E8
Leopold	03EA
Mott	03EC
Rory	03ED
Lionel	03EE
Nana	03FA
Simon	03FB
Tammi	03FC
Monty	03FD
Elise	03FE
Flip	03FF
Shari	0400
Deli	0401
Dora	040C
Limberg	040D
Bella	040E
Bree	040F
Samson	0410
Rod	0411
Candi	0414
Rizzo	0415
Anicotti	0416
Broccolo	0418
Moose	041A
Bettina	041B
Greta	041C
Penelope	041D
Chadder	041E
Octavian	0429
Marina	042A
Zucker	042B
Queenie	0436
Gladys	0437
Sandy	0438
Sprocket	0439
Julia	043B
Cranston	043C
Phil	043D
Blanche	043E
Flora	043F
Phoebe	0440
Apollo	044B
Amelia	044C
Pierce	044D
Buzz	044E
Avery	0450
Frank	0451
Sterling	0452
Keaton	0453
Celia	0454
Aurora	045F
Roald	0460
Cube	0461
Hopper	0462
Friga	0463
Gwen	0464
Puck	0465
Wade	0468
Boomer	0469
Iggly	046A
Tex	046B
Flo	046C
Sprinkle	046D
Curly	0478
Truffles	0479
Rasher	047A
Hugh	047B
Lucy	047C
Spork/Crackle	047D
Cobb	0480
Boris	0481
Maggie	0482
