# instead of space use tab
# name tab head tab tail

Isabelle	01810001	00440502
Tom Nook	01830001	00450502
DJ KK	01820101	00460502
Sable	01870001	00470502
Kapp'n	01960001	00480502
Resetti	018E0001	00490502
Joan	01A30001	004A0502
Timmy	01850001	004B0502
Digby	018C0001	004C0502
Pascal	01A40001	004D0502
Harriet	01910001	004E0502
Redd	01A80001	004F0502
Sahara	01A60001	00500502
Luna	01B50001	00510502
Tortimer	01B00001	00520502
Lyle	01AA0001	00530502
Lottie	01C10001	00540502
Bob	025D0001	00550502
Fauna	02D60001	00560502
Curt	02160001	00570502
Portia	02EF0001	00580502
Leonardo	04FE0001	00590502
Cheri	02870001	005A0502
Kyle	05150001	005B0502
Al	03710001	005C0502
Renée	04BA0001	005D0502
Lopez	02DB0001	005E0502
Jambette	03450001	005F0502
Rasher	047A0001	00600502
Tiffany	049B0001	00610502
Sheldon	04ED0001	00620502
Bluebear	027D0001	00630502
Bill	03070001	00640502
Kiki	02610001	00650502
Deli	04010001	00660502
Alli	02C40001	00670502
Kabuki	02660001	00680502
Patty	02B10001	00690502
Jitters	02310001	006A0502
Gigi	03480001	006B0502
Quillson	03180001	006C0502
Marcie	03DB0001	006D0502
Puck	04650001	006E0502
Shari	04000001	006F0502
Octavian	04290001	00700502
Winnie	03A90001	00710502
Knox	02A40001	00720502
Sterling	04520001	00730502
Bonbon	04A50001	00740502
Punchy	02630001	00750502
Opal	03230001	00760502
Poppy	04EC0001	00770502
Limberg	040D0001	00780502
Deena	030B0001	00790502
Snake	04970001	007A0502
Bangle	04FD0001	007B0502
Phil	043D0001	007C0502
Monique	02680001	007D0502
Nate	02190001	007E0502
Samson	04100001	007F0502
Tutu	021B0001	00800502
T-Bone	024F0001	00810502
Mint	04E60001	00820502
Pudge	02800001	00830502
Midge	02350001	00840502
Gruff	035A0001	00850502
Flurry	03840001	00860502
Clyde	03AE0001	00870502
Bella	040E0001	00880502
Biff	03940001	00890502
Yuka	03BC0001	008A0502
Lionel	03EE0001	008B0502
Flo	046C0001	008C0502
Cobb	04800001	008D0502
Amelia	044C0001	008E0502
Jeremiah	033F0001	008F0502
Cherry	02FB0001	00900502
Rosco	03A80001	00910502
Truffles	04790001	00920502
Eugene	03C60001	00930502
Eunice	04C70001	00940502
Goose	02990001	00950502
Annalisa	02080001	00960502
Benjamin	02FA0001	00970502
Pancetti	04880001	00980502
Chief	050B0001	00990502
Bunnie	04940001	009A0502
Clay	03830001	009B0502
Diana	02DE0001	009C0502
Axel	03290001	009D0502
Muffy	04D10001	009E0502
Henry	034B0001	009F0502
Bertha	03930001	00A00502
Cyrano	02000001	00A10502
Peanut	04DD0001	00A20502
Cole	04A60001	00A30502
Willow	04CC0001	00A40502
Roald	04600001	00A50502
Molly	03170001	00A60502
Walker	02F00001	00A70502
