K.K. Slider	01820001	00A80502
Reese	018A0001	00A90502
Kicks	01940001	00AA0502
Labelle	01890001	00AB0502
Copper	019D0001	00AC0502
Booker	019E0001	00AD0502
Katie	01B60001	00AE0502
Tommy	01860101	00AF0502
Porter	01950001	00B00502
Lelia	01980001	00B10502
Dr. Shrunk	01B10001	00B20502
Don Resetti	018F0001	00B30502
Isabelle (Aut)	01810101	00B40502
Blanca	01B30001	00B50502
Nat	019B0001	00B60502
Chip	019A0001	00B70502
Jack	01AD0001	00B80502
Poncho	027F0001	00B90502
Felicity	026E0001	00BA0502
Ozzie	03C10001	00BB0502
Tia	032D0001	00BC0502
Lucha	023C0001	00BD0502
Fuchsia	02DC0001	00BE0502
Harry	03980001	00BF0502
Gwen	04640001	00C00502
Coach	02510001	00C10502
Kitt	03D10001	00C20502
Tom	026C0001	00C30502
Tipper	02B20001	00C40502
Prince	03440001	00C50502
Pate	03090001	00C60502
Vladimir	02830001	00C70502
Savannah	03A60001	00C80502
Kidd	035D0001	00C90502
Phoebe	04400001	00CA0502
Egbert	029B0001	00CB0502
Cookie	02F20001	00CC0502
Sly	02C90001	00CD0502
Blaire	04DE0001	00CE0502
Avery	04500001	00CF0502
Nana	03FA0001	00D00502
Peck	023E0001	00D10502
Olivia	02600001	00D20502
Cesar	03690001	00D30502
Carmen	04A40001	00D40502
Rodney	03810001	00D50502
Scoot	03110001	00D60502
Whitney	050E0001	00D70502
Broccolo	04180001	00D80502
Coco	04960001	00D90502
Groucho	021A0001	00DA0502
Wendy	04CE0001	00DB0502
Alfonso	02C30001	00DC0502
Rhonda	04B30001	00DD0502
Butch	02EB0001	00DE0502
Gabi	04990001	00DF0502
Moose	041A0001	00E00502
Timbra	04CF0001	00E10502
Zell	02D80001	00E20502
Pekoe	028B0001	00E30502
Teddy	02140001	00E40502
Mathilda	03D20001	00E50502
Ed	03AA0001	00E60502
Bianca	05000001	00E70502
Filbert	04DF0001	00E80502
Kitty	026B0001	00E90502
Beau	02DD0001	00EA0502
Nan	03570001	00EB0502
Bud	03E60001	00EC0502
Ruby	049D0001	00ED0502
Benedict	029A0001	00EE0502
Agnes	04890001	00EF0502
Julian	03B10001	00F00502
Bettina	041B0001	00F10502
Jay	022D0001	00F20502
Sprinkle	046D0001	00F30502
Flip	03FF0001	00F40502
Hugh	047B0001	00F50502
Hopper	04620001	00F60502
Pecan	04E00001	00F70502
Drake	03100001	00F80502
Alice	03BD0001	00F90502
Camofrog	033B0001	00FA0502
Anicotti	04160001	00FB0502
Chops	04860001	00FC0502
Charlise	02200001	00FD0502
Vic	02520001	00FE0502
Ankha	02700001	00FF0502
Drift	033C0001	01000502
Vesta	04C50001	01010502
Marcel	02F90001	01020502
Pango	02020001	01030502
Keaton	04530001	01040502
Gladys	04370001	01050502
Hamphrey	03850001	01060502
Freya	05100001	01070502
Kid Cat	02670001	01080502
Agent S	04E20001	01090502
Big Top	03250001	010A0502
Rocket	03720001	010B0502
