Rover	018D0001	010C0502
Blathers	01920001	010D0502
Tom Nook	01830101	010E0502
Pelly	01A00001	010F0502
Phyllis	01A10001	01100502
Pete	019F0001	01110502
Mabel	01880001	01120502
Leif	01B40001	01130502
Wendell	01A70001	01140502
Cyrus	018B0001	01150502
Grams	01990001	01160502
Timmy	01850201	01170502
Digby	018C0101	01180502
Don Resetti	018F0101	01190502
Isabelle	01810201	011A0502
Franklin	01AE0001	011B0502
Jingle	01AF0001	011C0502
Lily	03380001	011D0502
Anchovy	022F0001	011E0502
Tabby	02690001	011F0502
Kody	02810001	01200502
Miranda	03130001	01210502
Del	02C70001	01220502
Paula	021E0001	01230502
Ken	02A60001	01240502
Mitzi	025E0001	01250502
Rodeo	024B0001	01260502
Bubbles	03920001	01270502
Cousteau	03420001	01280502
Velma	035C0001	01290502
Elvis	03E70001	012A0502
Canberra	03C40001	012B0502
Colton	03AF0001	012C0502
Marina	042A0001	012D0502
Spork/Crackle	047D0001	012E0502
Freckles	030E0001	012F0502
Bam	02D70001	01300502
Friga	04630001	01310502
Ricky	04E70001	01320502
Deirdre	02DA0001	01330502
Hans	03730001	01340502
Chevre	03560001	01350502
Drago	02CB0001	01360502
Tangy	02620001	01370502
Mac	02F80001	01380502
Eloise	03260001	01390502
Wart Jr.	033D0001	013A0502
Hazel	04EF0001	013B0502
Beardo	02210001	013C0502
Ava	029E0001	013D0502
Chester	028C0001	013E0502
Merry	026D0001	013F0502
Genji	049C0001	01400502
Greta	041C0001	01410502
Wolfgang	050D0001	01420502
Diva	034A0001	01430502
Klaus	02220001	01440502
Daisy	02F10001	01450502
Stinky	026A0001	01460502
Tammi	03FC0001	01470502
Tucker	032C0001	01480502
Blanche	043E0001	01490502
Gaston	04980001	014A0502
Marshal	04EE0001	014B0502
Gala	04850001	014C0502
Joey	03080001	014D0502
Pippy	049A0001	014E0502
Buck	03A40001	014F0502
Bree	040F0001	01500502
Rooney	03DA0001	01510502
Curlos	04CD0001	01520502
Skye	05140001	01530502
Moe	02650001	01540502
Flora	043F0001	01550502
Hamlet	037E0001	01560502
Astrid	03D60001	01570502
Monty	03FD0001	01580502
Dora	040C0001	01590502
Biskit	02ED0001	015A0502
Victoria	03A50001	015B0502
Lyman	03C50001	015C0502
Violet	03700001	015D0502
Frank	04510001	015E0502
Chadder	041E0001	015F0502
Merengue	04B90001	01600502
Cube	04610001	01610502
Claudia	04FF0001	01620502
Curly	04780001	01630502
Boomer	04690001	01640502
Caroline	04E30001	01650502
Sparro	023F0001	01660502
Baabara	04C60001	01670502
Rolf	04FA0001	01680502
Maple	027E0001	01690502
Antonio	02010001	016A0502
Soleil	03820001	016B0502
Apollo	044B0001	016C0502
Derwin	030F0001	016D0502
Francine	04A00001	016E0502
Chrissy	04A10001	016F0502
