# instead of space use tab
# name, head, tail

Isabelle, 01810301, 01700502
Brewster, 01900001, 01710502
Katrina, 01A50001, 01720502
Phineas, 019C0001, 01730502
Celeste, 01930001, 01740502
Tommy, 01860301, 01750502
Gracie, 01A90001, 01760502
Leilani, 01970001, 01770502
Resetti, 018E0101, 01780502
Timmy, 01850401, 01790502
Lottie, 01C10101, 017A0502
Shrunk, 01B10101, 017B0502
Pave, 01AB0001, 017C0502
Gulliver, 01A20001, 017D0502
Redd, 01A80101, 017E0502
Zipper, 01AC0001, 017F0502
Goldie, 02EA0001, 01800502
Stitches, 02820001, 01810502
Pinky, 02150001, 01820502
Mott, 03EC0001, 01830502
Mallary, 030D0001, 01840502
Rocco, 03900001, 01850502
Katt, 02720001, 01860502
Graham, 03800001, 01870502
Peaches, 03AC0001, 01880502
Dizzy, 03240001, 01890502
Penelope, 041D0001, 018A0502
Boone, 036B0001, 018B0502
Broffina, 02A50001, 018C0502
Croque, 03490001, 018D0502
Pashmina, 035E0001, 018E0502
Shep, 02FC0001, 018F0502
Lolly, 026F0001, 01900502
Erik, 02DF0001, 01910502
Dotty, 04950001, 01920502
Pierce, 044D0001, 01930502
Queenie, 04360001, 01940502
Fang, 05110001, 01950502
Frita, 04D00001, 01960502
Tex, 046B0001, 01970502
Melba, 03BE0001, 01980502
Bones, 02EE0001, 01990502
Anabelle, 02030001, 019A0502
Rudy, 02710001, 019B0502
Naomi, 02B80001, 019C0502
Peewee, 036A0001, 019D0502
Tammy, 028E0001, 019E0502
Olaf, 02090001, 019F0502
Lucy, 047C0001, 01A00502
Elmer, 03A70001, 01A10502
Puddles, 033E0001, 01A20502
Rory, 03ED0001, 01A30502
Elise, 03FE0001, 01A40502
Walt, 03D90001, 01A50502
Mira, 04A70001, 01A60502
Pietro, 04D20001, 01A70502
Aurora, 045F0001, 01A80502
Papi, 03B00001, 01A90502
Apple, 037F0001, 01AA0502
Rod, 04110001, 01AB0502
Purrl, 02640001, 01AC0502
Static, 04E50001, 01AD0502
Celia, 04540001, 01AE0502
Zucker, 042B0001, 01AF0502
Peggy, 04830001, 01B00502
Ribbot, 03390001, 01B10502
Annalise, 03AD0001, 01B20502
Chow, 02170001, 01B30502
Sylvia, 03D70001, 01B40502
Jacques, 023D0001, 01B50502
Sally, 04E40001, 01B60502
Doc, 049E0001, 01B70502
Pompom, 030C0001, 01B80502
Tank, 04B20001, 01B90502
Becky, 02A20001, 01BA0502
Rizzo, 04150001, 01BB0502
Sydney, 03BF0001, 01BC0502
Barold, 028D0001, 01BD0502
Nibbles, 04E10001, 01BE0502
Kevin, 04870001, 01BF0502
Gloria, 03160001, 01C00502
Lobo, 050C0001, 01C10502
Hippeux, 03990001, 01C20502
Margie, 03270001, 01C30502
Lucky, 02EC0001, 01C40502
Rosie, 025F0001, 01C50502
Rowan, 04FB0001, 01C60502
Maelle, 030A0001, 01C70502
Bruce, 02D90001, 01C80502
OHare, 04A30001, 01C90502
Gayle, 02CA0001, 01CA0502
Cranston, 043C0001, 01CB0502
Frobert, 033A0001, 01CC0502
Grizzly, 021D0001, 01CD0502
Cally, 04E80001, 01CE0502
Simon, 03FB0001, 01CF0502
Iggly, 046A0001, 01D00502
Angus, 024A0001, 01D10502
Twiggy, 02300001, 01D20502
Robin, 022E0001, 01D30502
