# Character Parfait			
Isabelle	01810001	01D40502
K. K. Slider	01820001	01D80502

# Amiibo Festival
Goldie	02EA0001	01D50502
Stitches	02820001	01D60502
Rosie	025F0001	01D70502

# Animal Crossing x Sanrio Series			
Rilla	03740101	03190502
Marty	028F0101	031A0502
Étoile	04D30101	031B0502
Chai	032E0101	031C0502
Chelsea	02E00101	031D0502
Toby	04A80101	031E0502

# Welcome Amiibo Series
Vivian	05130001	02E70502
Hopkins	04A20001	02E80502
June	028A0001	02E90502
Piper	02320001	02EA0502
Paolo	03280001	02EB0502
Hornsby	04B60001	02EC0502
Stella	04C80001	02ED0502
Tybalt	04FC0001	02EE0502
Huck	03430001	02EF0502
Sylvana	04EB0001	02F00502
Boris	04810001	02F10502
Wade	04680001	02F20502
Carrie	03D30001	02F30502
Ketchup	03140001	02F40502
Rex	03E80001	02F50502
Stu	024D0001	02F60502
Ursala	021C0001	02F70502
Jacob	02380001	02F80502
Maddie	02F30001	02F90502
Billy	03580001	02FA0502
Boyd	036E0001	02FB0502
Bitty	03950001	02FC0502
Maggie	04820001	02FD0502
Murphy	02840001	02FE0502
Plucky	02A30001	02FF0502
Sandy	04380001	03000502
Claude	049F0001	03010502
Raddle	03470001	03020502
Julia	043B0001	03030502
Louie	036D0001	03040502
Bea	02F40001	03050502
Admiral	02330001	03060502
Ellie	032A0001	03070502
Boots	02C50001	03080502
Weber	03120001	03090502
Candi	04140001	030A0502
Leopold	03EA0001	030B0502
Spike	04B40001	030C0502
Cashmere	04C90001	030D0502
Tad	03410001	030E0502
Norma	02B70001	030F0502
Gonzo	03C00001	03100502
Sprocket	04390001	03110502
Snooty	02060001	03120502
Olive	02860001	03130502
Dobie	050F0001	03140502
Buzz	044E0001	03150502
Cleo	03AB0001	03160502
Ike	021F0001	03170502
Tasha	04EA0001	03180502
