# instead of space use tab
# name tab head tab tail

# Wave 1
Isabelle	01810100	023F0502
K. K. Slider	01820000	02400502
Lottie	01C10000	02440502
Reese	018A0000	02450502
Cyrus	018B0000	02460502
Tom Nook	01830000	02420502
Mabel	01880000	02410502
Digby	018C0000	02430502

# Wave 2
Resetti	018E0000	02490502
Blathers	01920000	02470502
Kicks	01940000	024A0502
Celeste	01930000	02480502

# Wave 3
Timmy & Tommy	01840000	024D0502
Rover	018D0000	024C0502
Kapp'n	01960000	024E0502

# Wave 4
Isabelle - Summer Outfit	01810000	024B0502
