# Wave 1
Mario	00000000	00000002
Peach	00020000	00010002
Yoshi	00030000	00020002
Donkey Kong	00080000	00030002
Link	01000000	00040002
Fox	05800000	00050002
Samus	05C00000	00060002
Wii Fit Trainer	07000000	00070002
Villager	01800000	00080002
Pikachu	19190000	00090002
Kirby	1F000000	000A0002
Marth	21000000	000B0002

# Wave 2
Zelda	01010000	000E0002
Diddy Kong	00090000	000D0002
Luigi	00010000	000C0002
Little Mac	06C00000	000F0002
Pit	07400000	00100002
Captain Falcon	06000000	00120002

# Wave 3
Rosalina & Luma	00040100	00130002
Bowser	00050000	00140002
Lucario	1AC00000	00110002
Toon Link	01000100	00160002
Sheik	01010100	00170002
Ike	21010000	00180002
Shulk	22400000	002B0002
Sonic	32000000	00300002
Mega Man	34800000	00310002
King Dedede	1F020000	00280002
Meta Knight	1F010000	00270002

# Wave 4
Robin	21030000	002A0002
Lucina	21020000	00290002
Wario	00070000	001A0002
Charizard	19060000	00240002
Ness	22800000	002C0002
Pac-Man	33400000	00320002
Greninja	1B920000	00250002
Jigglypuff	19270000	00260002

# Wave 5
Palutena	07420000	001F0002
Dark Pit	07410000	00200002

# Wave 6
Zero Suit Samus	05C00100	001D0002
Ganondorf	01020100	001B0002
Dr. Mario	00000100	00190002
Bowser Jr.	00060000	00150002
Olimar	06400100	001E0002
Mr. Game & Watch	07800000	002D0002
R.O.B. (NES)	07810000	00330002
Duck Hunt	07820000	002F0002

# Wave 7
Mii Brawler	07C00000	00210002
Mii Swordfighter	07C00100	00220002
Mii Gunner	07C00200	00230002
Mewtwo	19960000	023D0002
Falco	05810000	001C0002

# Wave 8
Lucas	22810000	2510002

# Wave 9
R.O.B (Famicom)	07810000	002E0002
Roy	21040000	02520002
Ryu	34C00000	02530002

